"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2023,36047,2504700,2805485,"New York","NY",0.12008823411985459,"Kings County","Kings County","kings-county-ny",70,40078.357142857145,0.1371996671979443,1,40078.357142857145,70
2023,36081,2230722,2457886,"New York","NY",0.10183429400884547,"Queens County","Queens County","queens-county-ny",109,22549.4128440367,0.12020065735888324,2,22549.4128440367,109
2023,36061,1585873,1726765,"New York","NY",0.08884191861517277,"New York County","New York County","new-york-county-ny",23,75076.73913043478,0.08444585635961636,3,75076.73913043478,23
2023,36103,1493350,1535691,"New York","NY",0.0283530317741989,"Suffolk County","Suffolk County","suffolk-county-ny",912,1683.8717105263158,0.07510155788353111,4,1683.8717105263158,912
2023,36005,1385108,1498919,"New York","NY",0.082167599927226,"Bronx County","Bronx County","bronx-county-ny",42,35688.54761904762,0.07330325699715931,5,35688.54761904762,42
2023,36059,1339532,1412646,"New York","NY",0.054581749446821703,"Nassau County","Nassau County","nassau-county-ny",285,4956.652631578947,0.06908415517049894,6,4956.652631578947,285
2023,36119,949113,1021059,"New York","NY",0.07580340802412366,"Westchester County","Westchester County","westchester-county-ny",431,2369.046403712297,0.04993395259267678,7,2369.046403712297,431
2023,36029,919040,964796,"New York","NY",0.049786733983286924,"Erie County","Erie County","erie-county-ny",1043,925.0201342281879,0.047182462253017886,8,925.0201342281879,1043
2023,36055,744344,763973,"New York","NY",0.02637087153251727,"Monroe County","Monroe County","monroe-county-ny",657,1162.820395738204,0.037361397886003705,9,1162.820395738204,657
2023,36085,468730,503853,"New York","NY",0.0749322637765879,"Richmond County","Richmond County","richmond-county-ny",58,8687.120689655172,0.02464046819593968,10,8687.120689655172,58
2023,36067,467026,479363,"New York","NY",0.026416088183527364,"Onondaga County","Onondaga County","onondaga-county-ny",778,616.1478149100257,0.02344280723903645,11,616.1478149100257,778
2023,36071,372813,409860,"New York","NY",0.09937153479090055,"Orange County","Orange County","orange-county-ny",812,504.7536945812808,0.0200438268597941,12,504.7536945812808,812
2023,36087,311687,346321,"New York","NY",0.11111788428776315,"Rockland County","Rockland County","rockland-county-ny",174,1990.3505747126437,0.016936510422853542,13,1990.3505747126437,174
2023,36001,304204,318040,"New York","NY",0.045482636651720476,"Albany County","Albany County","albany-county-ny",523,608.1070745697897,0.015553454092833933,14,608.1070745697897,523
2023,36027,297488,295437,"New York","NY",-0.006894395740332349,"Dutchess County","Dutchess County","dutchess-county-ny",796,371.15201005025125,0.014448075137795807,15,371.15201005025125,796
2023,36091,219607,240279,"New York","NY",0.09413178997026517,"Saratoga County","Saratoga County","saratoga-county-ny",810,296.64074074074074,0.011750623808238098,16,296.64074074074074,810
2023,36065,234878,231300,"New York","NY",-0.015233440339239901,"Oneida County","Oneida County","oneida-county-ny",1212,190.84158415841586,0.011311514060094606,17,190.84158415841586,1212
2023,36063,216469,211526,"New York","NY",-0.02283467840660791,"Niagara County","Niagara County","niagara-county-ny",522,405.22222222222223,0.010344484751731829,18,405.22222222222223,522
